max_acceleration,min_acceleration,speed_variance,heading_variance,average_speed,sample_count
0.55,-1.9499,0.7473,1.1179,42.068,23.0
1.3438,-2.4404,0.7341,0.7828,16.0614,18.0
1.9026,-1.661,1.4027,0.4534,49.772,17.0
1.1805,-2.189,2.8759,0.5381,18.7098,16.0
1.1879,-1.971,0.226,0.7162,19.993,21.0
1.0864,-1.2427,2.6678,0.5744,22.6915,16.0
4.1395,-6.5531,9.3565,8.4919,13.5851,19.0
2.1682,-2.1747,1.1303,1.0218,43.0728,25.0
1.7183,-2.1577,2.2145,0.2869,30.1782,25.0
0.9392,-1.8514,2.3281,0.1311,47.8721,20.0
0.6324,-0.6737,1.7448,1.091,23.5051,22.0
2.3291,-1.5823,0.8682,0.4076,37.4547,19.0
1.3569,-1.3329,1.1498,1.4961,20.5333,22.0
0.5942,-2.2807,1.9196,1.1985,31.8864,16.0
1.6918,-1.5639,0.8291,0.8522,52.6972,25.0
1.8634,-1.4261,0.8738,0.9794,19.4621,21.0
0.5065,-1.0558,2.1871,1.4592,45.4785,23.0
2.241,-1.9031,1.953,0.933,21.1136,17.0
2.0573,-1.4393,0.1017,0.52,15.7791,20.0
2.1633,-1.885,0.268,1.3231,52.878,16.0
2.132,-0.544,1.6448,0.2324,41.39,23.0
1.5553,-1.2868,2.8967,1.3969,45.2106,18.0
1.298,-1.1566,1.1829,1.3544,33.0594,18.0
1.1762,-1.3234,0.7673,0.3693,17.8397,25.0
0.6348,-2.4372,1.0582,0.7955,26.1391,22.0
0.7646,-0.629,1.756,0.7354,46.3848,21.0
0.6939,-1.6379,1.3284,0.7272,44.163,25.0
1.7924,-2.3788,2.2118,1.2109,19.3708,18.0
1.3972,-1.6562,0.9078,0.4122,51.9306,22.0
2.2119,-2.3042,1.9912,0.8339,15.5903,16.0
2.1974,-2.1674,1.5084,0.3599,31.0416,15.0
0.5043,-1.7192,2.7869,1.1884,26.41,23.0
1.4733,-2.1202,0.7313,0.1348,44.4295,15.0
0.6143,-1.3316,1.5583,1.2864,21.2973,23.0
0.8716,-1.3099,2.0581,0.391,19.7955,24.0
1.689,-1.2612,1.3158,0.8963,35.9113,19.0
1.9324,-2.0226,1.2478,1.024,26.9999,20.0
2.3715,-2.4814,1.9014,0.8663,18.9992,23.0
1.0304,-0.6335,2.6545,1.3249,29.7811,17.0
1.5864,-1.895,2.9532,1.2203,36.1576,25.0
1.0988,-1.1732,2.8229,0.2447,19.6171,16.0
