route_deviation_meters,speed_kmh,stationary_duration_sec,distance_to_next_stop_m,route_progress_pct
9.17,31.51,0.0,4076.9,22.32
7.33,0.0,53.3,21.9,42.19
6.52,35.49,0.0,3042.7,2.65
11.5,30.5,0.0,4451.4,58.93
5.57,0.0,95.1,35.8,34.03
7.51,32.98,0.0,3360.1,84.75
5.37,0.0,29.3,5.8,97.31
9.5,0.0,81.2,5.0,61.85
8.76,0.0,65.1,21.4,28.94
7.4,22.48,0.0,2099.0,27.8
3.13,45.99,0.0,3389.3,26.7
3.76,36.07,0.0,5443.4,72.91
9.34,20.78,0.0,4290.4,55.69
0.0,26.21,0.0,1239.3,3.21
8.89,4.27,61.8,2008.4,87.64
2.97,6.6,20.5,2943.7,24.66
4.83,0.0,76.6,49.0,39.94
7.05,32.02,0.0,3488.2,10.96
4.72,0.0,64.3,27.3,38.16
5.88,10.78,37.3,3424.5,86.08
5.4,47.08,0.0,2447.7,11.16
13.83,22.99,0.0,2803.2,26.34
12.9,17.34,0.0,3550.3,29.84
9.89,46.67,0.0,4304.6,53.94
9.54,30.04,0.0,5117.1,1.95
7.68,0.0,41.3,32.5,5.79
0.0,48.4,0.0,4235.5,48.6
8.85,21.04,0.0,4811.1,47.53
5.03,11.17,0.0,1186.2,21.18
4.42,22.42,0.0,2894.9,99.51
2.53,21.6,0.0,1342.6,22.47
10.53,24.12,0.0,4989.3,7.1
3.88,0.0,62.8,29.8,7.09
12.31,50.76,0.0,2652.4,57.1
6.92,0.0,44.8,5.5,9.69
7.76,14.0,0.0,631.5,72.91
0.0,35.86,0.0,1127.1,33.93
3.69,28.38,0.0,5085.6,42.19
8.98,26.33,0.0,5496.1,86.13
5.6,0.0,103.5,6.3,96.9
3.24,30.75,0.0,416.6,40.1
9.13,29.13,0.0,2557.0,78.41
18.66,19.56,0.0,3979.4,55.58
2.95,60.24,0.0,3027.9,57.92
10.96,0.0,71.6,18.5,50.29
4.13,7.58,59.7,3392.3,8.01
12.13,47.26,0.0,3310.4,24.62
1.37,37.72,0.0,5147.4,52.28
5.38,21.34,0.0,3727.1,39.58
3.3,48.33,0.0,2574.7,7.25
7.56,5.97,30.6,4410.3,21.32
15.26,0.0,85.9,30.8,36.95
0.0,0.0,12.3,33.4,65.4
6.36,35.98,0.0,723.3,66.34
5.2,27.71,0.0,3975.1,55.32
11.4,28.78,0.0,4988.8,63.42
10.61,0.0,42.2,18.7,9.23
6.75,13.06,0.0,4102.6,26.2
5.5,30.73,0.0,4868.8,7.52
0.0,4.39,41.2,1575.9,58.25
7.67,0.0,94.3,0.0,79.61
6.01,35.59,0.0,4874.3,78.01
4.32,25.22,0.0,4768.9,92.99
9.08,0.25,33.5,4657.5,2.48
2.42,0.0,67.3,7.7,86.41
12.31,0.0,91.9,18.2,85.86
13.26,32.42,0.0,227.8,30.52
3.24,50.62,0.0,1607.3,32.83
0.0,44.77,0.0,5171.9,39.97
5.41,43.34,0.0,1533.5,97.04
15.24,28.6,0.0,3373.5,43.46
2.56,21.84,0.0,3927.4,38.52
4.58,11.42,0.0,4106.5,92.56
4.47,0.0,93.4,21.3,36.42
2.96,51.44,0.0,1721.7,71.98
2.6,36.63,0.0,787.4,29.57
11.6,23.39,0.0,3423.8,90.28
5.89,29.9,0.0,2421.4,28.69
3.48,18.91,0.0,1254.0,44.22
11.8,17.55,0.0,557.9,16.97
3.57,21.96,0.0,4156.1,81.84
6.42,0.0,76.4,15.4,2.44
10.54,0.0,29.7,22.2,7.28
4.46,16.77,0.0,3642.7,24.4
6.04,9.43,0.0,2395.8,10.66
10.66,26.22,0.0,1445.7,5.02
0.0,0.0,72.1,28.4,66.76
5.59,2.37,14.3,2548.7,89.14
0.0,0.0,44.2,7.4,74.37
6.49,31.44,0.0,3484.4,63.77
1.17,27.87,0.0,1826.4,7.75
9.11,32.17,0.0,3914.7,13.84
12.11,18.0,0.0,1216.9,40.76
4.9,14.02,0.0,4726.4,90.48
2.89,0.0,83.3,15.3,38.04
12.0,0.0,10.7,14.8,41.9
0.97,32.45,0.0,256.7,22.05
10.2,24.06,0.0,2623.9,67.91
7.36,41.84,0.0,3147.7,62.23
6.68,38.79,0.0,371.5,64.27
9.35,20.57,0.0,2147.3,21.17
12.0,0.0,59.9,19.1,83.19
0.0,17.32,0.0,3610.8,35.0
2.12,0.0,25.8,15.6,94.96
6.77,22.51,0.0,1277.0,12.62
1.49,0.0,76.9,26.9,76.69
11.56,0.0,90.5,16.8,96.47
6.57,41.65,0.0,3961.1,67.73
4.96,26.12,0.0,4271.4,69.06
4.67,0.0,112.0,34.8,60.04
3.57,0.0,81.7,5.9,37.06
5.86,0.0,110.1,30.7,82.23
8.98,13.44,0.0,4062.5,43.55
5.09,11.41,13.7,3668.6,53.82
6.44,32.48,0.0,4860.8,85.17
4.51,20.99,0.0,255.0,46.47
3.5,0.0,70.5,32.4,18.18
10.54,17.26,0.0,154.8,27.63
11.48,8.45,36.6,3247.2,48.86
0.0,37.08,0.0,3835.7,79.29
7.56,15.44,0.0,2397.7,58.16
6.82,0.0,54.2,7.4,33.08
7.9,35.4,0.0,2993.7,11.96
7.11,0.0,76.0,10.6,48.42
0.0,36.36,0.0,1328.4,28.3
7.55,20.61,0.0,5361.2,1.41
5.32,46.95,0.0,2750.7,69.74
11.74,0.0,33.6,17.1,57.41
15.03,39.06,0.0,4539.4,47.77
11.04,37.59,0.0,905.7,5.36
1.76,65.0,0.0,4228.0,11.85
6.72,21.7,0.0,2532.8,52.26
13.75,8.0,0.0,3453.5,30.54
5.4,8.0,0.0,1239.5,20.78
7.36,0.0,72.9,25.9,7.51
